                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.61853,                0.76936,                0.88829,                0.93231,                0.75729,                0.85705,                0.64906,                 1.0045,                 1.1053,                  1.058,              0.0006603,              0.0006603,              0.0006603
                     63,                0.61143,                0.78052,                0.88662,                0.95769,                0.77317,                 0.8593,                0.63513,                 1.0294,                 1.0927,                 1.0682,              0.0006438,              0.0006438,              0.0006438
                     64,                0.63585,                0.70428,                0.87895,                0.96508,                 0.7659,                 0.8874,                0.64913,                 1.0033,                 1.0049,                  1.063,             0.00062729,             0.00062729,             0.00062729
                     65,                0.59311,                0.71131,                0.87313,                0.81579,                0.87911,                0.88965,                0.68218,                0.95012,                 0.9796,                 1.0494,             0.00061079,             0.00061079,             0.00061079
                     66,                0.59102,                 0.6907,                0.87034,                 0.8498,                0.85521,                 0.8861,                0.66223,                0.97157,                 1.0501,                 1.0716,             0.00059429,             0.00059429,             0.00059429
                     67,                 0.5732,                0.72676,                0.87913,                0.82667,                0.87132,                 0.8899,                0.66135,                0.96531,                 1.0554,                  1.061,             0.00057778,             0.00057778,             0.00057778
                     68,                 0.5929,                0.71824,                0.88537,                 0.8873,                 0.7757,                0.88935,                0.64483,                 1.0123,                 1.0687,                  1.089,             0.00056128,             0.00056128,             0.00056128
                     69,                0.57919,                 0.6806,                0.87794,                0.95372,                0.77043,                0.90333,                0.64524,                  1.019,                 1.0733,                 1.0931,             0.00054478,             0.00054478,             0.00054478
                     70,                0.56488,                0.67737,                0.86163,                0.89448,                0.83495,                0.89786,                0.66159,                0.99681,                 1.0531,                 1.0839,             0.00052827,             0.00052827,             0.00052827
                     71,                0.58875,                0.71615,                0.87527,                 0.9748,                0.77171,                0.89729,                0.66556,                0.98189,                 1.0517,                 1.0739,             0.00051177,             0.00051177,             0.00051177
                     72,                0.57052,                0.66069,                0.87702,                0.86374,                0.80833,                0.88929,                0.66983,                0.95367,                 1.0113,                 1.0498,             0.00049527,             0.00049527,             0.00049527
                     73,                 0.5892,                0.73134,                0.88151,                0.86633,                0.82396,                0.88872,                0.67943,                0.94752,                 1.0001,                 1.0433,             0.00047876,             0.00047876,             0.00047876
                     74,                0.55783,                 0.7022,                 0.8803,                0.97453,                0.81975,                 0.8933,                0.66964,                0.94695,                 1.0231,                 1.0378,             0.00046226,             0.00046226,             0.00046226
                     75,                0.51733,                0.66654,                0.87784,                      1,                0.81887,                0.88865,                0.68827,                0.93239,                 1.0184,                 1.0408,             0.00044576,             0.00044576,             0.00044576
                     76,                0.55288,                0.65839,                0.86208,                0.98977,                0.82055,                0.89044,                0.66962,                0.92969,                0.98232,                  1.037,             0.00042925,             0.00042925,             0.00042925
                     77,                0.56976,                0.67094,                0.89389,                0.98825,                0.82139,                 0.9027,                0.66982,                0.94439,                0.95303,                 1.0423,             0.00041275,             0.00041275,             0.00041275
                     78,                0.55352,                0.66028,                 0.8663,                0.99355,                0.82396,                0.91501,                  0.679,                0.96788,                0.94349,                 1.0528,             0.00039625,             0.00039625,             0.00039625
                     79,                0.54412,                0.64487,                0.86591,                0.99509,                0.82396,                0.91755,                0.66585,                0.97927,                0.94071,                 1.0615,             0.00037974,             0.00037974,             0.00037974
                     80,                 0.5255,                0.63441,                0.85881,                0.97596,                 0.8234,                0.90272,                0.68394,                0.97144,                0.95431,                 1.0576,             0.00036324,             0.00036324,             0.00036324
                     81,                0.50534,                0.59067,                 0.8463,                0.97424,                0.82233,                0.90203,                0.67744,                0.95934,                0.94944,                 1.0531,             0.00034674,             0.00034674,             0.00034674
                     82,                0.54039,                0.66583,                0.89023,                0.97758,                 0.8302,                0.88803,                0.67103,                0.95373,                0.99091,                 1.0584,             0.00033023,             0.00033023,             0.00033023
                     83,                0.51401,                0.59749,                0.86478,                0.97793,                0.83231,                0.88604,                0.67112,                 0.9443,                0.99904,                 1.0571,             0.00031373,             0.00031373,             0.00031373
                     84,                0.55068,                0.63359,                0.86753,                0.98443,                0.82108,                0.87578,                 0.6588,                0.96578,                 1.0341,                 1.0617,             0.00029723,             0.00029723,             0.00029723
                     85,                0.51415,                0.58136,                0.85957,                      1,                0.83347,                0.87361,                0.64248,                0.99234,                  1.046,                 1.0725,             0.00028072,             0.00028072,             0.00028072
                     86,                0.47065,                0.57274,                0.83945,                0.99657,                0.83675,                0.87204,                  0.652,                0.99096,                 1.0541,                 1.0679,             0.00026422,             0.00026422,             0.00026422
                     87,                0.52606,                0.62395,                0.85656,                0.99615,                0.83539,                0.86479,                0.65586,                0.99125,                 1.0568,                 1.0649,             0.00024772,             0.00024772,             0.00024772
                     88,                0.46537,                0.57123,                0.85701,                0.98512,                0.82396,                0.86173,                0.64802,                0.99516,                 1.0556,                 1.0572,             0.00023121,             0.00023121,             0.00023121
                     89,                0.51798,                0.61856,                0.86175,                 0.9853,                0.82396,                0.86366,                0.64868,                0.98535,                 1.0394,                 1.0489,             0.00021471,             0.00021471,             0.00021471
                     90,                0.46311,                0.58836,                0.85969,                0.98642,                0.82396,                0.86696,                0.65389,                 0.9858,                 1.0052,                 1.0606,             0.00019821,             0.00019821,             0.00019821
                     91,                0.50462,                0.70985,                 0.8495,                0.99584,                0.82913,                0.87743,                0.66293,                0.98931,                0.98913,                  1.069,              0.0001817,              0.0001817,              0.0001817
                     92,                 0.5084,                0.71293,                0.85725,                0.99586,                0.82289,                0.87924,                0.63798,                  1.022,                0.98327,                 1.0946,              0.0001652,              0.0001652,              0.0001652
                     93,                0.49188,                0.67312,                0.84996,                0.99524,                0.81901,                0.87904,                0.63729,                 1.0301,                0.99503,                 1.1017,              0.0001487,              0.0001487,              0.0001487
                     94,                0.46461,                0.68512,                0.82905,                0.99577,                0.81768,                0.87533,                0.63037,                 1.0271,                 1.0126,                 1.0959,             0.00013219,             0.00013219,             0.00013219
                     95,                0.48722,                0.69912,                 0.8538,                 0.9962,                0.81747,                0.87497,                0.63998,                 1.0159,                 1.0166,                 1.0859,             0.00011569,             0.00011569,             0.00011569
                     96,                0.46576,                0.70818,                0.84968,                0.99586,                0.81618,                0.89538,                0.65475,                 1.0044,                0.98115,                  1.073,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.44898,                0.67809,                0.83638,                0.99568,                0.81684,                0.89819,                0.66705,                 1.0019,                0.96933,                 1.0731,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.43902,                0.67392,                0.83097,                0.99551,                0.81558,                0.89831,                 0.6664,                0.99636,                0.95117,                 1.0686,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 0.4518,                0.66026,                0.81845,                0.98709,                0.80833,                0.89773,                 0.6648,                0.99755,                0.95343,                  1.069,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.43374,                0.62838,                0.82737,                0.98643,                0.80833,                0.89823,                0.67377,                0.99456,                0.94033,                  1.068,             3.3173e-05,             3.3173e-05,             3.3173e-05
